token,label,source of relation
NONANTOLA,[72252]DBPEDIA,
.,,
Sono,,
stati,,
ritrovati,,
il,,
cassetto,,
del,,
comò,[72239]NER_ORG,
e,,
parte,,
della,,
refurtiva,,
sottratti,,
dai,,
ladri,,
ad,,
Emanuela,[72241]NER_PER,
Marinelli,[72241]NER_PER,
",",,
la,,
donna,,
che,,
ha,,
vissuto,,
il,,
terribile,,
faccia,,
a,,
faccia,,
con,,
uno,,
dei,,
balordi,,
che,,
",",,
con,,
un,,
complice,,
",",,
si,,
è,,
introdotto,,
in,,
casa,,
sua,,
in,,
via,,
Respighi,,
lunedì,,
sera,,
.,,
«,,
Ieri,,
mattina,,
i,,
carabinieri,,
ci,,
hanno,,
avvisati,,
che,,
un,,
signore,,
",",,
portando,,
a,,
spasso,,
il,,
cane,,
",",,
aveva,,
rinvenuto,,
il,,
nostro,,
cassetto,,
-,,
spiega,,
Emanuela,[72242]NER_PER,
-,,
si,,
trovava,,
in,,
un,,
fossato,,
",",,
nelle,,
campagne,,
fuori,,
Nonantola,"[72243]NER_LOC, [72253]DBPEDIA",
",",,
in,,
prossimità,,
di,,
via,[72244]NER_LOC,
Rebecchi,[72244]NER_LOC,
.,,
Dentro,,
c,,
',,
erano,,
tutta,,
la,,
bigiotteria,,
e,,
i,,
miei,,
oggetti,,
personali,,
",",,
incluse,,
le,,
chiavi,,
di,,
casa,,
.,,
Ma,,
purtroppo,,
non,,
quelle,,
della,,
mia,,
Peugeot,[72254]DBPEDIA,
.,,
E,,
nemmeno,,
alcuni,,
gioielli,,
in,,
oro,,
che,,
avevo,,
sul,,
comò,,
",",,
e,,
del,,
cui,,
furto,,
mi,,
sono,,
accorta,,
in,,
seguito,,
.,,
Ma,,
sono,,
contenta,,
della,,
collaborazione,,
e,,
della,,
solidarietà,,
dei,,
cittadini,,
di,,
Nonantola,"[72245]NER_LOC, [72255]DBPEDIA",
",",,
grazie,,
al,,
passaparola,,
sui,,
social,,
.,,
Come,,
ringrazio,,
i,,
carabinieri,,
e,,
quel,,
signore,,
:,,
io,,
e,,
mio,,
marito,,
andremo,,
a,,
trovarlo,,
e,,
gli,,
porterò,,
una,,
torta,,
.,,
Stiamo,,
pensando,,
anche,,
di,,
andare,,
in,,
Comune,[72246]NER_LOC,
per,,
chiedere,,
vengano,,
potenziati,,
in,,
paese,,
i,,
turni,,
di,,
pattuglia,,
di,,
polizia,[72247]NER_ORG,
stradale,[72247]NER_ORG,
e,[72247]NER_ORG,
carabinieri,[72247]NER_ORG,
.,,
E,,
se,,
serve,,
",",,
noi,,
cittadini,,
faremo,,
una,,
colletta,,
»,,
.,,
Sono,,
invece,,
furti,,
di,,
biciclette,,
e,,
moto,,
da,,
cross,,
di,,
valore,,
",",,
quelli,,
messi,,
a,,
segno,,
dai,,
ladri,,
martedì,,
notte,,
in,,
due,,
abitazioni,,
di,,
Casette,,
.,,
«,,
Tra,,
le,,
2,,
",",,
30,,
e,,
le,,
3,,
i,,
vicini,,
si,,
sono,,
svegliati,,
per,,
l,,
',,
abbaiare,,
dei,,
cani,,
-,,
racconta,,
il,,
residente,,
di,,
un,,
',,
abitazione,,
di,,
via,[72248]NER_LOC,
di,[72248]NER_LOC,
Matteo,[72248]NER_LOC,
-,,
ma,,
noi,,
ci,,
siamo,,
accorti,,
del,,
furto,,
solo,,
ieri,[72238]TE,
mattina,[72238]TE,
.,,
Nel,,
garage,,
di,,
mio,[72256]DBPEDIA,
cognato,[72256]DBPEDIA,
",",,
che,,
abita,,
di,,
fianco,,
a,,
me,,
",",,
i,,
ladri,,
hanno,,
fatto,,
due,,
buchi,,
.,,
Dopo,,
averlo,,
aperto,,
si,,
sono,,
presi,,
tre,,
biciclette,,
:,,
una,,
sua,,
bici,,
da,,
corsa,,
in,,
carbonio,,
",",,
del,,
valore,,
di,,
quasi,,
4mila,,
euro,,
",",,
insieme,,
ai,,
cerchi,,
di,,
scorta,,
;,,
un,,
',,
altra,,
bici,,
da,,
uomo,,
Bianchi,[72249]NER_PER,
e,,
quella,,
che,,
avevo,,
regalato,,
a,,
mia,,
figlia,,
un,,
mese,,
fa,,
per,,
la,,
Cresima,[72250]NER_ORG,
.,,
E,,
devono,,
essere,,
passati,,
dalla,,
campagna,,
perché,,
ci,,
sono,,
le,,
impronte,,
.,,
Un,,
mio,,
amico,,
",",,
poi,,
",",,
che,,
abita,,
sempre,,
alle,,
Casette,,
",",,
mi,,
ha,,
detto,,
che,,
martedì,,
sera,,
gli,,
hanno,,
rubato,,
due,,
moto,,
da,,
cross,,
dal,,
garage,,
di,,
casa,,
",",,
dopo,,
aver,,
fatto,,
gli,,
stessi,,
buchi,,
»,,
.,,
Valentina,[72251]NER_PER,
Corsini,[72251]NER_PER,
