token,label,source of relation
MODENA,,
Raid,,
dei,,
ladri,,
in,,
corso,[68347]NER_LOC,
Canalchiaro,[68347]NER_LOC,
:,,
nella,,
fascia,,
oraria,,
che,,
va,,
dalle,,
13,,
.,,
15,,
alle,,
14,,
.,,
20,,
i,,
malviventi,,
hanno,,
potuto,,
prendere,,
di,,
mira,,
",",,
senza,,
che,,
nessuno,,
si,,
accorgesse,,
di,,
nulla,,
",",,
ben,,
tre,,
negozi,,
:,,
due,,
sono,,
stati,,
saccheggiati,,
",",,
il,,
terzo,,
è,,
stato,,
risparmiato,,
quando,,
ormai,,
stavano,,
per,,
entrare,,
dopo,,
aver,,
manomesso,,
la,,
serratura,,
della,,
porta,,
vetrina,,
.,,
A,,
subire,,
il,,
furto,,
la,,
cioccolateria,,
di,,
Giuseppe,"[68348]NER_PER, [68349]DBPEDIA",
Pacchioni,"[68348]NER_PER, [68349]DBPEDIA",
",",,
che,,
spiega,,
come,,
i,,
ladri,,
siano,,
riusciti,,
ad,,
entrare,,
usando,,
un,,
piccolo,,
trapano,,
con,,
una,,
punta,,
affilata,,
che,,
ha,,
fatto,,
come,,
da,,
passepartout,,
.,,
I,,
ladri,,
così,,
sono,,
entrati,,
senza,,
fare,,
la,,
classica,,
spaccata,,
e,,
senza,,
neanche,,
forzare,,
più,,
di,,
tanto,,
la,,
serratura,,
.,,
Una,,
volta,,
all,,
',,
interno,,
hanno,,
svuotato,,
il,,
registratore,,
di,,
cassa,,
che,,
conteneva,,
alcune,,
centinaia,,
di,,
euro,,
poi,,
",",,
non,,
paghi,,
",",,
hanno,,
rovistato,,
all,,
',,
interno,,
dei,,
cassetti,,
",",,
mettendo,,
tutto,,
a,,
soqquadro,,
e,,
rovesciando,,
parecchie,,
prelibatezze,,
del,,
negozio,,
.,,
Stessa,,
sorte,,
per,,
l,,
',,
attigua,,
erboristeria,,
",",,
dove,,
i,,
ladri,,
sono,,
entrati,,
utilizzando,,
la,,
medesima,,
tecnica,,
.,,
Anche,,
in,,
questo,,
caso,,
svuotata,,
la,,
cassa,,
di,,
alcune,,
centinaia,,
d,,
',,
euro,,
.,,
Tentativo,,
di,,
furto,,
invece,,
per,,
il,,
negozio,,
di,,
abbigliamento,,
attiguo,,
:,,
i,,
ladri,,
probabilmente,,
sono,,
stati,,
disturbati,,
e,,
non,,
hanno,,
portato,,
a,,
termine,,
il,,
colpo,,
.,,
Questo,,
raid,,
evidenzia,,
la,,
necessità,,
di,,
telecamere,,
:,,
la,,
zona,,
",",,
centralissima,,
",",,
è,,
completamente,,
scoperta,,
.,,
(,,
s,,
.,,
to,,
),,
