token,label,source of relation
Ancora,,
criminalità,,
in,,
azione,,
nelle,,
notti,,
sassolesi,,
e,,
le,,
zone,,
colpite,,
sono,,
sempre,,
diverse,,
(,,
con,,
alcune,,
di,,
queste,,
che,,
",",,
come,,
abbiamo,,
riportato,,
ieri,[57651]TE,
e,,
come,,
è,,
avvenuto,,
la,[57652]TE,
notte,[57652]TE,
scorsa,[57652]TE,
",",,
vengono,,
colpite,,
una,,
seconda,,
volta,,
),,
.,,
È,,
il,,
caso,,
del,,
colpo,,
al,,
Bar,[57656]NER_ORG,
Clio,[57656]NER_ORG,
di,,
via,[57657]NER_LOC,
Refice,[57657]NER_LOC,
.,,
Ignoti,,
hanno,,
forzato,,
la,,
porta,,
d,,
',,
ingresso,,
con,,
un,,
piede,,
di,,
porco,,
",",,
sono,,
entrati,,
nel,,
locale,,
ed,,
hanno,,
vuotato,[57659]DBPEDIA,
la,,
cassa,,
",",,
portando,,
via,,
anche,,
tutti,,
i,,
"""",,
Gratta,[57658]NER_PER,
e,,
vinci,,
"""",,
che,,
erano,,
nella,,
mensola,,
del,,
bar,,
.,,
Un,,
danno,,
di,,
diverse,,
migliaia,,
di,,
euro,,
.,,
Particolare,,
non,,
trascurabile,,
",",,
al,,
vaglio,,
delle,,
forze,,
dell,,
',,
ordine,,
che,,
potrebbero,,
controllare,,
le,,
telecamere,,
della,,
zona,,
",",,
che,,
si,,
tratta,,
di,,
un,,
bis,,
.,,
«,,
Un,,
tentativo,,
-,,
dicono,,
i,,
titolari,,
-,,
era,,
stato,,
effettuato,,
anche,,
nella,,
notte,,
di,,
Halloween,"[57660]DBPEDIA, [57653]TE",
",",,
senza,,
risultati,,
.,,
Si,,
vede,,
che,,
si,,
trattava,,
proprio,,
di,,
una,,
prima,,
mossa,,
che,,
è,,
stata,,
poi,,
concretizzata,,
questa,,
notte,,
»,,
.,,
La,,
zona,,
è,,
pochi,,
metri,,
dalla,,
circonvallazione,,
sud,,
sassolese,,
e,,
consente,,
quindi,,
ai,,
malviventi,,
di,,
operare,,
e,,
scappare,,
in,,
brevissimo,,
tempo,,
.,,
Malviventi,,
che,,
hanno,,
anche,,
studiato,,
bene,,
il,,
colpo,,
visto,,
che,,
adiacente,,
al,,
bar,,
c,,
',,
è,,
anche,,
un,,
forno,,
",",,
che,,
apre,,
al,,
mattino,,
prestissimo,,
ed,,
è,,
chiaro,,
che,,
chi,,
ha,,
commesso,,
il,,
furto,,
ne,,
ha,,
tenuto,,
conto,,
.,,
I,,
mesi,,
di,,
ottobre,[57654]TE,
e,,
novembre,[57655]TE,
si,,
confermano,,
i,,
più,,
ricchi,,
per,,
questo,,
genere,,
di,,
reati,,
.,,
(,,
a,,
.,,
s,,
.,,
),,
