token,label,source of relation
CAMPOSANTO,[85963]NER_LOC,
.,,
La,,
chiesa,,
del,,
paese,,
non,,
è,,
nuova,,
a,,
furti,,
del,,
genere,,
.,,
O,,
meglio,,
",",,
negli,,
anni,,
scorsi,,
era,,
stato,,
il,,
parroco,,
a,,
finire,,
nel,,
mirino,,
di,,
banditi,,
senza,,
scrupoli,,
e,,
a,,
seguire,,
un,,
noto,,
soggetto,,
di,,
Concordia,[85964]NER_LOC,
era,,
stato,,
identificato,,
come,,
l,,
',,
autore,,
del,,
furto,,
delle,,
offerte,,
avvenuto,,
ad,,
agosto,[85962]TE,
.,,
Nei,,
giorni,,
scorsi,,
all,,
',,
elenco,,
di,,
razzie,,
di,,
limitato,,
valore,,
si,,
è,,
aggiunta,,
anche,,
una,,
rumena,[5989]_AUT,[5991]_AUT
di,,
40,[5990]_AUT,[5991]_AUT
anni,[5990]_AUT,[5991]_AUT
",",,
ufficialmente,,
senza,,
fissa,,
dimora,,
.,,
La,,
donna,[5991]_AUT,
è,,
stata,,
sorpresa,,
dai,,
carabinieri,[85965]NER_ORG,
di,,
San,[85967]DBPEDIA,
Felice,,
mentre,,
si,,
trovava,,
ancora,,
nella,,
chiesa,"[5993]_PAR, [5994]_LOC",
di,"[5993]_PAR, [5994]_LOC",
San,"[85968]DBPEDIA, [5993]_PAR, [5994]_LOC",
Nicolò,"[5993]_PAR, [5994]_LOC",
.,,
Era,,
intenta,,
ad,,
estrarre,,
le,,
elemosine,[5995]_OBJ,
lasciate,,
da,,
qualche,,
devoto,,
durante,,
la,,
giornata,,
all,,
',,
interno,,
dell,,
',,
offertorio,,
.,,
Data,,
la,,
modestia,,
del,,
tentato,,
furto,,
la,,
40enne,,
è,,
stata,,
soltanto,,
denunciata,,
",",,
ma,,
il,,
caso,,
diventa,,
emblematico,,
della,,
collaborazione,,
che,,
può,,
esserci,,
tra,,
cittadini,,
e,,
forze,,
dell,,
',,
ordine,,
.,,
Se,,
un,,
attento,,
testimone,,
non,,
avesse,,
segnalato,,
la,,
presenza,,
della,,
donna,,
sospetta,,
nella,,
chiesa,,
non,,
sarebbe,,
stato,,
possibile,,
procedere,,
con,,
l,,
',,
intervento,,
e,,
neppure,,
al,,
rapido,,
intervento,,
di,,
controllo,,
.,,
—,,
Vale,,
.,,
C,[85966]NER_PER,
.,[85966]NER_PER,
