token,label,source of relation
Hanno,,
da,,
poco,,
compiuto,,
18,,
anni,,
",",,
ma,,
hanno,,
già,,
collezionato,,
parecchie,,
denunce,,
per,,
furto,,
.,,
E,,
con,,
l,,
',,
ultimo,,
raid,,
sono,,
finiti,,
nella,,
rete,,
della,,
polizia,[27927]NER_ORG,
del,[27927]NER_ORG,
Commissariato,[27927]NER_ORG,
.,,
Sono,,
stati,,
infatti,,
individuati,,
gli,,
autori,,
dei,,
furti,,
notturni,,
alla,,
pizzeria,[27928]NER_ORG,
Negresco,[27928]NER_ORG,
",",,
al,,
circolo,,
della,,
lirica,,
e,,
all,,
',,
auditorium,,
Bertoli,[27929]NER_PER,
",",,
ed,,
del,,
tentato,,
furto,,
alla,,
tabaccheria,,
di,,
via,[27930]NER_LOC,
Pia,[27930]NER_LOC,
",",,
tutti,,
compiuti,,
nella,,
notte,,
del,,
primo,[27925]TE,
ottobre,[27925]TE,
scorso,[27925]TE,
.,,
A,,
commettere,,
i,,
furti,,
due,,
ragazzi,[27942]DBPEDIA,
italiani,[27942]DBPEDIA,
e,,
uno,,
di,,
famiglia,,
marocchina,,
.,,
«,,
A,,
casa,,
dei,,
soggetti,,
italiani,,
-,,
ha,,
spiegato,,
il,,
dirigente,,
del,,
commissariato,,
cittadino,,
",",,
Michele,[27931]NER_PER,
Morra,[27931]NER_PER,
–,,
abbiamo,,
trovato,,
il,,
mixer,,
e,,
la,,
consolle,,
rubati,,
all,,
',,
auditorium,,
",",,
alcuni,,
microfoni,,
e,,
una,,
decina,,
di,,
tastiere,[27943]DBPEDIA,
da,,
computer,,
",",,
oltre,,
ad,,
un,,
segnale,,
di,,
divieto,,
di,,
transito,,
con,,
bollo,,
Sgp,,
stampato,,
sul,,
retro,,
",",,
quindi,,
sassolese,,
.,,
Siamo,,
in,,
attesa,,
di,,
un,,
verbale,,
di,,
dissequestro,,
e,,
tutto,,
tornerà,,
ai,,
legittimi,,
proprietari,,
«,,
.,,
I,,
denunciati,,
sono,,
M,[27932]NER_PER,
.,[27932]NER_PER,
M,[27932]NER_PER,
.,[27932]NER_PER,
",",,
20enne,,
marocchino,,
residente,,
a,,
Baiso,[27933]NER_LOC,
;,,
L,"[27934]NER_PER, [27944]DBPEDIA",
.,"[27934]NER_PER, [27944]DBPEDIA",
A,"[27934]NER_PER, [27944]DBPEDIA",
.,"[27934]NER_PER, [27944]DBPEDIA",
ed,,
M,"[27935]NER_PER, [27945]DBPEDIA",
.,"[27935]NER_PER, [27945]DBPEDIA",
S,"[27935]NER_PER, [27945]DBPEDIA",
.,"[27935]NER_PER, [27945]DBPEDIA",
",",,
entrambi,,
classe,,
1994,[27946]DBPEDIA,
",",,
italiani,,
residenti,,
in,,
città,,
.,,
«,,
L,,
',,
individuazione,,
e,,
la,,
denuncia,,
",",,
da,,
parte,,
degli,,
agenti,,
del,,
commissariato,,
degli,,
autori,,
dei,,
ripetuti,,
furti,,
messi,,
a,,
segno,,
nell,,
',,
ottobre,,
scorso,,
ai,,
danni,,
di,,
diversi,,
esercizi,,
commerciali,,
e,,
strutture,,
pubbliche,,
in,,
via,[27936]NER_LOC,
Pia,[27936]NER_LOC,
–,,
hanno,,
commentato,,
il,,
sindaco,,
Caselli,[27937]NER_PER,
ed,,
il,,
vicesindaco,,
Menani,[27938]NER_PER,
-,,
rappresentano,,
un,,
segnale,,
importante,,
per,,
tutta,,
la,,
città,,
ed,,
una,,
risposta,,
ferma,,
nei,,
confronti,,
dei,,
criminali,,
.,,
È,,
chiaro,,
che,,
per,,
delinquenti,,
come,,
loro,,
a,,
Sassuolo,"[27939]NER_LOC, [27947]DBPEDIA",
non,,
c,,
',,
è,,
spazio,,
né,,
possibilità,,
di,,
farla,,
franca,,
.,,
Ora,[27926]TE,
è,,
però,,
necessario,,
continuare,,
a,,
tenere,,
alta,,
la,,
guardia,,
e,,
agire,,
con,,
il,,
contributo,,
di,,
tutti,,
.,,
La,,
tutela,,
della,,
sicurezza,,
e,,
dell,,
',,
ordine,,
pubblico,,
",",,
ad,,
ogni,,
livello,,
",",,
deve,,
rimanere,,
una,,
priorità,,
assoluta,,
»,,
.,,
Lo,,
sviluppo,,
delle,,
indagini,,
da,,
parte,,
degli,,
agenti,,
del,,
commissariato,,
cittadino,,
è,,
stato,,
possibile,,
confrontando,,
le,,
immagini,,
delle,,
telecamere,,
in,,
via,[27940]NER_LOC,
Pia,[27940]NER_LOC,
e,,
controllando,,
diversi,,
soggetti,,
",",,
quasi,,
tutti,,
conosciuti,,
alle,,
forze,,
dell,,
',,
ordine,,
.,,
«,,
Li,,
abbiamo,,
denunciati,,
alla,,
magistratura,,
–,,
ha,,
concluso,,
Morra,[27941]NER_PER,
–,,
per,,
furto,,
aggravato,,
e,,
continuato,,
.,,
Una,,
condanna,,
sarebbe,,
pesante,,
per,,
il,,
futuro,,
di,,
questi,,
giovanissimi,,
»,,
.,,
Come,,
dire,,
:,,
fermatevi,,
finchè,,
siete,,
in,,
tempo,,
.,,
Grazie,,
alla,,
restituzione,,
degli,,
impianti,,
",",,
infine,,
",",,
sarà,,
forse,,
possibile,,
riaprire,,
ad,,
eventi,,
l,,
',,
auditorium,,
",",,
già,,
dai,,
prossimi,,
giorni,,
.,,
