token,label,source of relation
Un,,
',,
aggressione,,
continua,,
nei,,
confronti,,
di,,
una,,
coinquilina,,
che,,
voleva,,
cacciare,,
.,,
Ma,,
dopo,,
insulti,,
e,,
violenze,,
i,,
carabinieri,[155545]NER_ORG,
hanno,,
ammanettato,,
un,,
52,,
enne,,
già,,
ai,,
domiciliari,,
.,,
L,,
',,
uomo,,
ora,[155544]TE,
è,,
in,,
carcere,,
con,,
le,,
accuse,,
di,,
atti,,
persecutori,,
aggravati,,
e,,
lesioni,,
personali,,
",",,
anch,,
',,
esse,,
aggravate,,
.,,
L,,
',,
uomo,,
aveva,,
iniziato,,
a,,
perseguitarla,,
per,,
spingerla,,
a,,
cambiare,,
domicilio,,
.,,
Ad,,
esempio,,
",",,
le,,
suonava,,
continuamente,,
il,,
campanello,,
pretendendo,,
di,,
impartirle,,
ordini,,
sugli,,
orari,,
nei,,
quali,,
avrebbe,,
potuto,,
svolgere,,
le,,
faccende,,
domestiche,,
",",,
la,,
offendeva,,
quando,,
la,,
incontrava,,
per,,
le,,
scale,,
indicando,,
le,,
proprie,,
parti,,
intime,,
.,,
In,,
una,,
occasione,,
",",,
dopo,,
aver,,
strappato,,
il,,
monopattino,,
dalle,,
mani,,
del,,
figlio,,
di,,
sei,,
anni,,
",",,
lo,,
ha,,
lanciato,,
contro,,
una,,
parete,,
e,,
ha,,
afferrato,,
la,,
madre,,
per,,
la,,
gola,,
.,,
Ne,,
risponderà,,
al,,
giudice,,
",",,
con,,
l,,
',,
aggravante,,
dello,,
stato,,
di,,
gravidanza,,
della,,
donna,,
.,,
—,,
