token,label,source of relation
CARPI,,
«,,
Siamo,,
soddisfatti,,
della,,
sentenza,,
",",,
non,,
ci,,
aspettavamo,,
che,,
arrivasse,,
così,,
“,,
presto,,
”,,
",",,
ma,,
al,,
tempo,,
stesso,,
crediamo,,
che,,
fossero,,
tutti,,
responsabili,,
del,,
pestaggio,,
di,,
cui,,
siamo,,
stati,,
vittime,,
.,,
Nessuno,,
ha,,
cercato,,
di,,
dividere,,
i,,
nostri,,
aggressori,,
.,,
Ripeto,,
",",,
non,,
ci,,
ha,,
aiutato,,
nessuno,,
quella,,
notte,,
",",,
mentre,,
le,,
prendevamo,,
dal,,
branco,,
»,,
.,,
Leggi,,
anche,,
Carpi,"[115520]NER_ORG, [115533]DBPEDIA",
Salvò,[115520]NER_ORG,
il,,
fidanzato,,
grazie,,
alle,,
arti,,
marziali,,
Il,,
branco,,
condannato,,
a,,
18,,
anni,,
di,,
carcere,,
Soddisfatti,,
",",,
ma,,
con,,
riserva,,
",",,
Rossella,[115521]NER_PER,
Setti,[115521]NER_PER,
e,,
Mattia,[115522]NER_PER,
Polisena,[115522]NER_PER,
",",,
la,,
coppia,,
di,,
fidanzati,,
aggredita,,
a,,
Pasqua,"[115523]NER_LOC, [115534]DBPEDIA",
dello,,
scorso,,
anno,,
",",,
in,,
via,[115524]NER_LOC,
Bellentanina,[115524]NER_LOC,
.,,
Nella,,
piccola,,
strada,,
pedonale,,
che,,
porta,,
da,,
via,[115525]NER_LOC,
Rodolfo,"[115525]NER_LOC, [115535]DBPEDIA",
Pio,"[115525]NER_LOC, [115535]DBPEDIA",
a,,
viale,,
Carducci,"[115526]NER_PER, [115536]DBPEDIA",
",",,
pieno,,
centro,,
storico,,
",",,
i,,
due,,
sono,,
stati,,
accerchiati,,
e,,
pestati,,
a,,
sangue,,
da,,
un,,
gruppo,,
di,,
delinquenti,,
con,,
età,,
attualmente,[115518]TE,
compresa,,
fra,,
i,,
25,,
e,,
i,,
32,,
anni,,
.,,
In,,
tutto,,
",",,
gli,,
imputati,,
sono,,
stati,,
condannati,,
a,,
oltre18,,
anni,,
di,,
carcere,,
",",,
più,,
il,,
pagamento,,
di,,
provvisionali,,
di,,
3,,
e,,
6,,
mila,,
euro,,
a,,
Rossella,[115527]NER_PER,
e,,
a,,
Mattia,[115528]NER_PER,
.,,
Gli,,
imputati,,
erano,,
cinque,,
",",,
uno,,
è,,
stato,,
assolto,,
.,,
Fondamentale,,
è,,
stata,,
la,,
conoscenza,,
delle,,
arti,,
marziali,,
di,,
Rossella,[115529]NER_PER,
",",,
campionessa,,
di,,
Muai,[115530]NER_PER,
Thay,[115530]NER_PER,
",",,
che,,
ha,,
difeso,,
il,,
fidanzato,,
.,,
Si,,
è,,
ritenuto,,
che,,
l,,
',,
imputato,,
assolto,,
non,,
abbia,,
preso,,
parte,,
al,,
pestaggio,,
.,,
«,,
Erano,,
lì,,
tutti,,
-,,
risponde,,
Rossella,[115531]NER_PER,
-,,
e,,
per,,
me,,
sono,,
tutti,[115537]DBPEDIA,
colpevoli,[115537]DBPEDIA,
allo,,
stesso,,
modo,,
.,,
Non,,
ricordo,,
che,,
qualcuno,,
abbia,,
cercato,,
di,,
separarci,,
da,,
chi,,
ce,,
le,,
stava,,
dando,,
di,,
santa,,
ragione,,
»,,
.,,
In,,
generale,,
qual,,
è,,
la,,
vostra,,
reazione,,
alla,,
sentenza,,
?,,
«,,
Il,,
giudice,,
ha,,
inflitto,,
una,,
pena,,
sostanziosa,,
.,,
Siamo,,
contenti,,
",",,
in,,
generale,,
",",,
possiamo,,
dire,,
di,,
essere,,
rimasti,,
soddisfatti,,
anche,,
per,,
i,,
tempi,,
in,,
cui,,
è,,
stata,,
emanata,,
»,,
.,,
A,,
carico,,
dei,,
cinque,,
sono,,
state,,
stabilite,,
pene,,
diverse,,
.,,
«,,
Per,,
me,,
sono,,
tutti,[115538]DBPEDIA,
colpevoli,[115538]DBPEDIA,
",",,
ripeto,,
.,,
Erano,,
lì,,
e,,
nessuno,,
ci,,
ha,,
difesi,,
durante,,
quella,,
notte,,
in,,
cui,,
siamo,,
stati,,
vittime,,
di,,
un,,
episodio,,
feroce,,
da,,
parte,,
di,,
quel,,
branco,,
.,,
Non,,
c,,
',,
è,,
un,,
quinto,,
che,,
si,,
possa,,
definire,,
incolpevole,,
",",,
perché,,
nessuno,,
di,,
loro,,
in,,
quei,,
momenti,,
è,,
accorso,,
a,,
nostra,,
difesa,,
»,,
.,,
Quella,,
notte,,
dopo,,
un,,
anno,,
e,,
mezzo,,
:,,
come,,
affrontate,,
il,,
ricordo,,
di,,
un,,
episodio,,
così,,
brutale,,
?,,
«,,
Sono,,
proiettata,,
al,,
futuro,,
.,,
Adesso,[115519]TE,
penso,,
a,,
ristrutturare,,
casa,,
nostra,,
.,,
Quello,,
che,,
è,,
successo,,
è,,
terribile,,
",",,
ma,,
il,,
mio,,
pensiero,,
è,,
quello,,
di,,
andare,,
avanti,,
»,,
.,,
Qual,,
è,,
il,,
suggerimento,,
o,,
il,,
messaggio,,
che,,
volete,,
dare,,
sulla,,
prevenzione,,
di,,
fatti,,
come,,
quello,,
di,,
cui,,
",",,
vostro,,
malgrado,,
",",,
siete,,
stati,,
vittime,,
?,,
«,,
Credo,,
che,,
sia,,
stata,,
evidente,,
l,,
',,
importanza,,
delle,,
arti,,
marziali,,
.,,
Tutti,,
dovrebbero,,
conoscerle,,
per,,
sapersi,,
difendere,,
.,,
Bisognerebbe,,
insegnarle,,
anche,,
ai,,
bambini,,
",",,
perché,,
si,,
possano,,
difendere,,
dai,,
bulli,,
»,,
.,,
Sul,,
versante,,
sicurezza,,
in,,
città,,
",",,
invece,,
",",,
cosa,,
pensate,,
che,,
si,,
debba,,
fare,,
?,,
«,,
Mettere,,
le,,
telecamere,,
dove,,
sia,,
possibile,,
",",,
in,,
più,,
punti,,
della,,
città,,
.,,
Possono,,
servire,,
come,,
deterrente,,
",",,
ma,,
anche,,
a,,
ricostruire,,
episodi,,
gravi,,
come,,
quello,,
di,,
cui,,
siamo,,
stati,,
vittime,,
»,,
.,,
Nel,,
vostro,,
caso,,
si,,
sono,,
rivelate,,
utili,,
queste,,
immagini,,
?,,
«,,
Parte,,
della,,
nostra,,
aggressione,,
è,,
stata,,
ripresa,,
dalla,,
telecamera,,
interna,,
di,,
un,,
garage,,
privato,,
.,,
E,,
sì,,
",",,
è,,
stato,,
utile,,
perché,,
ha,,
dimostrato,,
che,,
quello,,
che,,
abbiamo,,
subìto,,
è,,
stato,,
qualcosa,,
di,,
veramente,,
tosto,,
.,,
Si,,
è,,
visto,,
chiaramente,,
",",,
poi,,
",",,
che,,
Mattia,[115532]NER_PER,
veniva,,
trascinato,,
da,,
questi,,
aggressori,,
»,,
.,,
—,,
