token,label,source of relation
Formigine,[151097]DBPEDIA,
.,,
I,,
cittadini,,
di,,
Casinalbo,"[151087]NER_LOC, [151098]DBPEDIA",
lo,,
ricordano,,
bene,,
:,,
prima,,
del,,
2017,,
",",,
anno,,
in,,
cui,,
la,,
palazzina,,
della,,
Bertola,[151088]NER_PER,
è,,
stata,,
inaugurata,,
e,,
data,,
in,,
gestione,,
a,,
due,,
associazioni,,
del,,
territorio,,
",",,
la,,
situazione,,
di,,
degrado,,
nell,,
',,
area,,
–,,
che,,
vedeva,,
anche,,
spaccio,,
di,,
stupefacenti,,
–,,
era,,
preoccupante,,
.,,
Lo,,
ricorda,,
bene,,
anche,,
l,,
',,
amministrazione,,
",",,
ed,,
è,,
probabilmente,,
per,,
questo,,
che,,
quando,,
in,,
consiglio,,
si,,
è,,
discusso,,
di,,
alcune,,
segnalazioni,,
sullo,,
stato,,
di,,
decoro,,
dell,,
',,
area,,
pubblica,,
adiacente,,
alla,,
palazzina,,
",",,
la,,
giunta,,
si,,
è,,
stretta,,
intorno,,
alle,,
associazioni,,
che,,
",",,
negli,,
anni,,
",",,
hanno,,
riqualificato,,
l,,
',,
area,,
in,,
questione,,
:,,
la,,
Podistica,[151089]NER_ORG,
Formiginese,[151089]NER_ORG,
e,,
Le,[151090]NER_ORG,
Palafitte,[151090]NER_ORG,
2,,
.,,
0,,
.,,
Tutto,,
è,,
partito,,
da,,
un,,
',,
interpellanza,,
della,,
consigliera,,
Elisa,"[151091]NER_PER, [151099]DBPEDIA",
Berselli,[151091]NER_PER,
del,,
gruppo,,
Lega,[151092]NER_ORG,
Salvini,[151092]NER_ORG,
Premier,[151092]NER_ORG,
:,,
«,,
È,,
necessario,,
–,,
ha,,
detto,,
–,,
che,,
ambiente,,
e,,
verde,,
adiacente,,
siano,,
in,,
uno,,
stato,,
decoroso,,
e,,
sicuro,,
.,,
Dopo,,
numerose,,
segnalazioni,,
e,,
un,,
accurato,,
sopralluogo,,
",",,
vediamo,,
che,,
la,,
parte,,
esterna,,
del,,
verde,,
è,,
in,,
uno,,
stato,,
fatiscente,,
",",,
le,,
protezioni,,
sono,,
usurate,,
e,,
non,,
sono,,
più,,
sicure,,
.,,
I,,
giochi,,
sono,,
rotti,,
e,,
in,,
alcune,,
parti,,
mancano,,
dei,,
pezzi,,
della,,
struttura,,
.,,
Molti,,
alberi,,
non,,
sono,,
stati,,
potati,,
e,,
di,,
conseguenza,,
non,,
sono,,
stati,,
messi,,
in,,
sicurezza,,
»,,
.,,
È,,
intervenuto,,
il,,
vicesindaco,,
Simona,[151093]NER_PER,
Sarracino,[151093]NER_PER,
",",,
sottolineando,,
come,,
le,,
segnalazioni,,
arrivate,,
ai,,
canali,,
ufficiali,,
siano,,
state,,
poche,,
;,,
per,,
quanto,,
riguarda,,
i,,
giochi,,
rotti,,
",",,
sono,,
già,,
stati,,
concordati,,
gli,,
interventi,,
e,,
ordinati,,
i,,
pezzi,,
mancanti,,
",",,
ma,,
i,,
tempi,,
si,,
sono,,
dilungati,,
anche,,
per,,
le,,
difficoltà,,
di,,
approvvigionamento,,
attuali,[151086]TE,
.,,
«,,
Gli,,
interventi,,
di,,
sostituzione,,
verranno,,
realizzati,,
entro,,
il,,
12,,
novembre,,
»,,
",",,
ha,,
assicurato,,
.,,
Parlando,,
invece,,
della,,
potatura,,
delle,,
piante,,
",",,
è,,
stato,,
riferito,,
che,,
i,,
cittadini,,
avevano,,
richiesto,,
l,,
',,
abbassamento,,
delle,,
stesse,,
:,,
la,,
capitozzatura,[151100]DBPEDIA,
però,,
non,,
è,,
consentita,,
da,,
regolamento,,
comunale,,
.,,
C,,
',,
è,,
stata,,
una,,
cosa,,
che,,
però,,
Sarracino,[151094]NER_PER,
ha,,
voluto,,
sottolineare,,
:,,
«,,
Da,,
quando,,
abbiamo,,
attivato,,
la,,
collaborazione,,
con,,
le,,
associazioni,,
l,,
',,
area,,
è,,
più,,
vissuta,,
e,,
controllata,,
.,,
Parlare,,
di,,
degrado,,
secondo,,
me,,
è,,
un,,
termine,,
non,,
appropriato,,
»,,
.,,
Il,,
vicesindaco,,
ha,,
ricordato,,
da,,
dove,,
tutto,,
è,,
partito,,
",",,
quando,,
la,,
palazzina,,
e,,
le,,
aree,,
verdi,,
adiacenti,,
sono,,
state,,
date,,
in,,
gestione,,
alle,,
associazioni,,
:,,
«,,
Penso,[151095]NER_PER,
che,,
molti,,
si,,
ricorderanno,,
che,,
il,,
quel,,
periodo,,
vedevano,,
frequentazioni,,
poco,,
raccomandabili,,
.,,
Portare,,
un,,
progetto,,
di,,
riqualificazione,,
della,,
zona,,
per,,
riappropriarci,,
di,,
questi,,
spazi,,
ha,,
consentito,,
di,,
fare,,
diventare,,
quei,,
luoghi,,
un,,
centro,,
di,,
aggregazione,,
molto,,
attivo,,
»,,
.,,
S,[151096]NER_PER,
.,[151096]NER_PER,
P,[151096]NER_PER,
.,[151096]NER_PER,
©,,
RIPRODUZIONE,,
RISERVATA,,
