token,label,source of relation
Individuati,,
gli,,
autori,,
ed,,
i,,
complici,,
di,,
due,,
rapine,,
consumate,,
a,,
Modena,"[31941]NER_LOC, [31952]DBPEDIA",
(,,
in,,
un,,
ufficio,,
postale,,
ed,,
in,,
un,,
istituto,,
di,,
credito,,
),,
il,,
19,,
settembre,,
dello,,
scorso,,
anno,,
.,,
Poco,,
prima,,
delle,,
nove,,
",",,
i,,
due,,
soggetti,,
",",,
con,,
marcato,,
accento,,
campano,,
",",,
hanno,,
rapinato,,
l,,
',,
ufficio,[31942]NER_ORG,
postale,[31942]NER_ORG,
di,,
via,[31943]NER_LOC,
Vaccari,[31943]NER_LOC,
",",,
dal,,
quale,,
sono,,
usciti,,
con,,
circa,,
€,,
3,,
.,,
000,,
",",,
00,,
e,,
successivamente,,
tentato,,
una,,
seconda,,
rapina,,
presso,,
la,,
filiale,,
della,,
Banca,"[31944]NER_ORG, [31953]DBPEDIA",
Popolare,"[31944]NER_ORG, [31953]DBPEDIA",
dell,[31953]DBPEDIA,
',[31953]DBPEDIA,
Emilia,"[31945]NER_LOC, [31953]DBPEDIA",
Romagna,"[31945]NER_LOC, [31953]DBPEDIA",
di,,
via,,
Giardini,,
dalla,,
quale,,
grazie,,
al,,
sistema,,
di,,
protezione,,
denominato,,
"""",,
cash,,
guardian,,
"""",,
",",,
non,,
hanno,,
consumato,,
il,,
proposito,,
.,,
I,,
due,,
soggetti,,
",",,
al,,
termine,,
della,,
seconda,,
rapina,,
si,,
sono,,
",",,
poi,,
",",,
dileguati,,
lasciando,,
perdere,,
le,,
proprie,,
tracce,,
.,,
Le,,
indagini,,
",",,
avviate,,
dagli,,
operatori,,
della,,
Squadra,[31946]NER_ORG,
Mobile,"[31946]NER_ORG, [31954]DBPEDIA",
si,,
sono,,
concentrate,,
su,,
uno,,
scooter,[31955]DBPEDIA,
di,,
colore,,
bianco,,
con,,
sella,,
marrone,,
utilizzato,,
dai,,
malviventi,,
e,,
di,,
proprietà,,
di,,
un,,
pregiudicato,,
modenese,,
il,,
quale,,
",",,
dopo,,
quattro,,
giorni,,
dalla,,
consumazione,,
dei,,
due,,
reati,,
",",,
ne,,
ha,,
denunciato,,
il,,
furto,,
.,,
E,,
',,
emerso,,
che,,
il,,
soggetto,,
in,,
questione,,
aveva,,
frequenti,,
contatti,,
con,,
un,,
uomo,,
di,,
nazionalità,,
italiana,,
originario,,
di,,
Mugnano,[31947]NER_LOC,
di,[31947]NER_LOC,
Napoli,"[31947]NER_LOC, [31956]DBPEDIA",
(,,
Na,[31948]NER_LOC,
),,
.,,
E,,
',,
stato,,
",",,
poi,,
",",,
accertato,,
",",,
analogamente,,
",",,
che,,
anche,,
l,,
',,
altro,,
complice,,
aveva,,
frequenti,,
rapporti,,
con,,
soggetti,,
di,,
origine,,
campana,,
",",,
pregiudicati,,
per,,
reati,,
specifici,,
.,,
Attraverso,,
l,,
',,
utilizzo,,
di,,
sistemi,,
tecnico,,
-,,
investigativi,,
si,,
è,,
giunti,,
alla,,
individuazione,,
dei,,
due,,
soggetti,,
autori,,
dei,,
fatti,,
in,,
questione,,
",",,
entrambi,,
pluripregiudicati,,
ed,,
uno,,
dei,,
quali,,
latitante,,
",",,
poiché,,
destinatario,,
di,,
una,,
ordinanza,,
di,,
custodia,,
cautelare,,
in,,
carcere,,
emessa,,
dal,,
Tribunale,[31949]NER_ORG,
di,[31949]NER_ORG,
Camerino,[31949]NER_ORG,
sempre,,
per,,
analogo,,
reato,,
.,,
Cinque,,
",",,
in,,
totale,,
",",,
i,,
provvedimenti,,
cautelari,,
emessi,,
dal,,
Tribunale,[31950]NER_LOC,
di,[31950]NER_LOC,
Modena,"[31950]NER_LOC, [31957]DBPEDIA",
.,,
Oltre,,
ai,,
due,,
a,,
carico,,
degli,,
autori,,
materiali,,
ne,,
sono,,
stati,,
emessi,,
altri,,
tre,,
in,,
danno,,
di,,
un,,
napoletano,,
",",,
un,,
palermitano,,
ed,,
un,,
modenese,,
che,,
",",,
a,,
vario,,
titolo,,
",",,
hanno,,
concorso,,
nei,,
reati,,
.,,
Alla,,
fine,,
",",,
l,,
',,
esito,,
dell,,
',,
attività,,
si,,
è,,
conclusa,,
con,,
la,,
notifica,,
dell,,
',,
ordinanza,,
di,,
custodia,,
cautelare,,
in,,
carcere,,
per,,
uno,,
dei,,
soggetti,,
;,,
due,,
sono,,
stati,,
sottoposti,,
agli,,
arresti,,
domiciliari,,
",",,
con,,
applicazione,,
di,,
braccialetti,,
elettronici,,
;,,
per,,
altri,,
due,,
indagati,,
è,,
stata,,
applicata,,
la,,
misura,,
cautelare,,
dell,,
',,
obbligo,,
di,,
presentazione,,
alla,,
P,[31951]NER_PER,
.,[31951]NER_PER,
G,[31951]NER_PER,
.,[31951]NER_PER,
