token,label,source of relation
MODENA,,
.,,
Furti,,
al,,
Policlinico,,
:,,
in,,
settembre,,
",",,
massimo,,
ottobre,,
",",,
saranno,,
collocate,,
ed,,
entreranno,,
in,,
funzione,,
nuove,,
telecamere,,
ed,,
altri,,
accorgimenti,,
tecnici,,
nelle,,
zone,,
più,,
a,,
rischio,,
",",,
ovvero,,
i,,
reparti,,
di,,
Ginecologia,[54924]NER_ORG,
",",,
Pediatria,"[54925]NER_ORG, [54936]DBPEDIA",
",",,
Neonatologia,"[54926]NER_ORG, [54937]DBPEDIA",
dove,,
si,,
sono,,
concentrati,,
i,,
furti,,
ai,,
danni,,
di,,
pazienti,,
.,,
I,,
FURTI,,
IN,,
CALO,,
Così,,
il,,
Policlinico,,
",",,
dopo,,
il,,
caso,,
della,,
donna,,
derubata,,
dei,,
suoi,,
effetti,,
personali,,
nell,,
',,
armadietto,,
della,,
camera,,
mentre,,
lei,,
stava,,
partorendo,,
.,,
La,,
lotta,,
ai,,
furti,,
è,,
serrata,,
",",,
alcuni,,
vengono,,
messi,,
a,,
segno,,
ma,,
spesso,,
i,,
ladri,,
vengono,,
identificati,,
e,,
denunciati,,
.,,
In,,
ogni,,
caso,,
il,,
fenomeno,,
è,,
più,,
che,,
dimezzato,,
.,,
Nei,,
primi,,
6,,
mesi,,
del,,
2016,,
i,,
furti,,
all,,
',,
interno,,
dei,,
reparti,,
del,,
Policlinico,,
sono,,
stati,,
12,,
",",,
contro,,
i,,
36,,
dello,,
stesso,,
periodo,,
del,,
2015,,
(,,
-,,
67,,
",",,
7,,
%,,
),,
.,,
«,,
Questo,,
dato,,
conferma,,
i,,
buoni,,
risultati,,
del,,
piano,,
Sicurezza,,
varato,,
nell,,
',,
ottobre,[54920]TE,
2015,[54920]TE,
dall,,
',,
Azienda,[54927]NER_ORG,
ospedaliero,[54927]NER_ORG,
-,[54927]NER_ORG,
universitaria,[54927]NER_ORG,
di,,
Modena,"[54928]NER_LOC, [54938]DBPEDIA",
",",,
con,,
la,,
nomina,,
di,,
un,,
Security,"[54929]NER_ORG, [54939]DBPEDIA",
Manager,"[54929]NER_ORG, [54939]DBPEDIA",
",",,
il,,
ripristino,,
di,,
tutte,,
le,,
telecamere,,
esistenti,,
",",,
il,,
potenziamento,,
del,,
turno,,
di,,
vigilanza,,
e,,
una,,
rinnovata,,
sinergia,,
con,,
il,,
posto,,
di,,
polizia,[54930]NER_ORG,
»,[54931]NER_ORG,
.,,
Leggi,,
anche,,
Lei,,
entra,,
in,,
sala,,
parto,,
.,,
Ladro,,
al,,
Policlinico,,
svuota,,
l,,
',,
armadietto,,
DUE,,
DENUNCIATI,,
E,,
tal,,
proposito,,
",",,
in,,
questi,[54921]TE,
giorni,[54921]TE,
di,,
agosto,[54922]TE,
sono,,
stati,,
individuati,,
due,,
autori,,
di,,
furti,,
al,,
Policlinico,,
",",,
di,,
cui,,
uno,,
aveva,,
colpito,,
proprio,,
in,,
Ostetricia,,
e,,
Ginecologia,[54932]NER_ORG,
.,,
Si,,
tratta,,
di,,
persone,,
che,,
",",,
grazie,,
alle,,
immagini,,
delle,,
telecamere,,
sono,,
state,,
