token,label,source of relation
MODENA,,
Martedì,,
25,[105430]TE,
febbraio,[105430]TE,
",",,
la,,
Squadra,[105431]NER_ORG,
Mobile,"[105431]NER_ORG, [105435]DBPEDIA",
ha,,
denunciato,,
due,,
uomini,,
residenti,,
in,,
città,,
per,,
ricettazione,,
di,,
“,,
attrezzature,,
da,,
cantiere,[105436]DBPEDIA,
edile,[105436]DBPEDIA,
”,,
:,,
si,,
tratta,,
di,,
un,,
29enne,,
italiano,,
e,,
un,,
27enne,,
moldavo,,
.,,
Gli,,
investigatori,,
",",,
al,,
termine,,
di,,
una,,
rapida,,
indagine,,
condotta,,
nelle,,
ore,,
immeditamente,,
successive,,
al,,
furto,,
",",,
sono,,
risaliti,,
ai,,
due,,
giovani,,
in,,
seguito,,
alle,,
indagini,,
avviate,,
dopo,,
il,,
furto,,
di,,
numerosi,,
attrezzi,,
avvenuti,,
in,,
un,,
cantiere,[105437]DBPEDIA,
edile,[105437]DBPEDIA,
in,,
via,[105432]NER_LOC,
del,[105432]NER_LOC,
Tirassegno,[105432]NER_LOC,
.,,
Ingente,,
il,,
bottino,,
:,,
intorno,,
agli,,
otto,,
mila,,
euro,,
di,,
valore,,
.,,
Gli,,
uomini,,
dela,,
Squadra,[105433]NER_ORG,
Mobile,"[105433]NER_ORG, [105438]DBPEDIA",
",",,
sono,,
così,,
arrivati,,
al,,
primo,,
e,,
controllando,,
la,,
sua,,
auto,,
hanno,,
trovato,,
alcuni,,
attrezzi,,
e,,
nel,,
giro,,
di,,
poche,,
ore,,
hanno,,
intercettato,,
anche,,
l,,
',,
altro,,
dei,,
due,,
sospettati,,
",",,
sempre,,
in,,
centro,,
a,,
Modena,"[105434]NER_LOC, [105439]DBPEDIA",
.,,
E,,
',,
stata,,
effettuata,,
una,,
perquisizione,,
",",,
estesa,,
al,,
suo,,
veicolo,,
",",,
e,,
anche,,
in,,
questo,,
caso,,
sono,,
stati,,
trovati,,
attrezzi,,
rubati,,
.,,
Secondo,,
le,,
forze,,
dell,,
',,
ordine,,
",",,
complice,,
del,,
primo,,
sarebbe,,
stato,,
questo,,
secondo,,
uomo,,
",",,
un,,
moldavo,,
.,,
Denuncia,,
per,,
entrambi,,
.,,
