token,label,source of relation
MODENA,,
.,,
La,,
donna,,
sexy,,
aveva,,
fissato,,
l,,
',,
appuntamento,,
sul,,
sito,,
di,,
incontri,,
piccanti,,
e,,
il,,
comasco,[80426]DBPEDIA,
adescato,,
è,,
arrivato,,
fino,,
a,,
Modena,"[80420]NER_LOC, [80427]DBPEDIA",
per,,
incontrarla,,
nel,,
suo,,
appartamento,,
",",,
ma,,
ha,,
trovato,,
due,,
ceffi,,
che,,
lo,,
hanno,,
malmenato,,
e,,
rapinato,,
.,,
Uno,,
dei,,
due,,
è,,
stato,,
preso,,
dalla,,
polizia,,
perché,,
",",,
ferito,,
nella,,
colluttazione,,
",",,
era,,
andato,,
a,,
farsi,,
medicare,,
al,,
pronto,,
soccorso,,
.,,
La,,
Squadra,[80421]NER_ORG,
Volante,[80421]NER_ORG,
della,[80421]NER_ORG,
polizia,[80421]NER_ORG,
ha,,
proceduto,,
al,,
fermo,,
di,,
P,[80422]NER_PER,
.,[80422]NER_PER,
G,[80422]NER_PER,
.,[80422]NER_PER,
",",,
un,,
rumeno,[80428]DBPEDIA,
di,,
anni,,
24,,
indiziato,,
di,,
rapina,,
aggravata,,
in,,
concorso,,
.,,
Intorno,,
alle,,
20,,
di,,
domenica,[80417]TE,
sera,[80417]TE,
",",,
gli,,
agenti,,
sono,,
intervenuti,,
in,,
zona,,
buon,,
Pastore,,
.,,
All,,
',,
interno,,
di,,
un,,
condominio,,
erano,,
state,,
segnalate,,
al,,
112,,
",",,
delle,,
persone,,
che,,
si,,
stavano,,
picchiando,,
.,,
All,,
',,
arrivo,,
della,,
polizia,[80423]NER_ORG,
",",,
i,,
due,,
presunti,,
aggressori,,
erano,,
scappati,,
",",,
mentre,,
la,,
vittima,,
",",,
un,,
italiano,,
residente,,
in,,
provincia,[80424]NER_LOC,
di,[80424]NER_LOC,
Como,[80424]NER_LOC,
",",,
è,,
stata,,
soccorsa,,
dagli,,
agenti,,
in,,
quanto,,
a,,
seguito,,
dell,,
',,
aggressione,,
aveva,,
riportato,,
una,,
ferita,,
sanguinante,,
sul,,
braccio,,
destro,,
",",,
il,,
collo,,
arrossato,,
e,,
una,,
tumefazione,,
in,,
fronte,,
.,,
La,,
vittima,,
ha,,
poi,,
spiegato,,
di,,
essere,,
stata,,
aggredita,,
da,,
un,,
giovane,,
che,,
lo,,
aveva,,
accompagnato,,
nel,,
locale,,
adibito,,
a,,
stenditoio,,
di,,
un,,
palazzo,,
",",,
spacciandosi,,
per,,
amico,,
di,,
una,,
donna,,
che,,
aveva,,
conosciuto,,
attraverso,,
un,,
sito,,
on,,
line,,
di,,
incontri,,
erotici,,
",",,
con,,
la,,
quale,,
aveva,,
concordato,[80429]DBPEDIA,
una,,
prestazione,,
sessuale,,
e,,
che,,
-,,
a,,
detta,,
del,,
rumeno,[80430]DBPEDIA,
-,,
lo,,
stava,,
aspettando,,
.,,
Una,,
volta,,
arrivati,,
nel,,
locale,,
all,,
',,
ultimo,,
piano,,
del,,
condominio,,
",",,
ove,,
si,,
trovava,,
un,,
complice,,
",",,
l,,
',,
italiano,,
è,,
stato,,
aggredito,,
perché,,
consegnasse,,
