token,label,source of relation
MODENA,[55642]NER_ORG,
Ancora,[55642]NER_ORG,
una,,
spaccata,,
contro,,
un,,
locale,,
modenese,,
.,,
Nella,,
notte,,
tra,,
venerdì,,
e,,
sabato,[55637]TE,
è,,
stato,,
preso,,
di,,
mira,,
il,,
Caffè,,
Blanco,[55643]NER_PER,
.,,
Caffè,,
Blanco,[55644]NER_PER,
",",,
in,,
via,[55645]NER_LOC,
Vignolese,[55645]NER_LOC,
",",,
nel,,
tratto,,
dopo,,
la,,
rotonda,,
e,,
prima,,
di,,
raggiungere,,
San,,
Damaso,,
",",,
al,,
civico,,
1084,,
:,,
i,,
ladri,,
sono,,
di,,
casa,,
perché,,
è,,
il,,
quinto,,
colpo,,
che,,
effettuano,,
in,,
un,,
anno,,
.,,
E,,
in,,
pochi,,
giorni,,
due,,
spaccate,,
:,,
una,,
nella,,
notte,,
tra,,
martedì,,
e,,
mercoledì,,
",",,
l,,
',,
altra,,
nella,,
notte,,
tra,,
venerdì,,
e,,
sabato,[55638]TE,
.,,
Forse,,
potrebbe,,
essere,,
un,,
record,,
",",,
ma,,
non,,
c,,
',,
è,,
certo,,
da,,
esserne,,
contenti,,
",",,
anche,,
perché,,
i,,
titolari,,
del,,
bar,,
tabaccheria,,
",",,
per,,
proteggersi,,
",",,
si,,
sono,,
dotati,,
di,,
sistema,,
d,,
',,
allarme,,
",",,
di,,
impianto,,
di,,
videosorveglianza,,
",",,
che,,
anche,,
questa,,
volta,,
ha,,
filmato,,
i,,
malviventi,,
.,,
E,,
in,,
più,,
c,,
',,
è,,
il,,
vicinato,,
",",,
un,,
vicino,,
in,,
particolare,,
che,,
non,,
appena,,
sente,,
la,,
sirena,,
scattare,,
scende,,
in,,
strada,,
cercando,,
di,,
intervenire,,
",",,
di,,
allontanare,,
i,,
ladri,,
.,,
IL,,
VICINO,,
TESTIMONE,,
Ma,,
i,,
malviventi,,
",",,
come,,
lui,,
stesso,,
ha,,
riferito,,
:,,
«,,
scappano,,
subito,,
",",,
in,,
neanche,,
trenta,,
secondi,,
arraffano,,
e,,
riescono,,
a,,
scappare,,
salendo,,
in,,
auto,,
.,,
La,,
macchina,,
la,,
lasciano,,
sempre,,
nel,,
piccolo,,
spiazzo,[55652]DBPEDIA,
subito,,
dopo,,
al,,
locale,,
.,,
Martedì,,
notte,,
hanno,,
preso,,
un,,
paletto,,
per,,
spaccare,,
",",,
un,,
',,
altra,,
ancora,,
sono,,
passati,,
dal,,
retro,,
",",,
dove,,
c,,
',,
è,,
la,,
campagna,,
",",,
tagliando,,
le,,
reti,,
del,,
caseggiato,,
.,,
Entrano,,
e,,
poi,,
scappano,,
a,,
volte,,
da,,
quella,,
parte,,
",",,
perché,,
poco,,
lontano,,
c,,
',,
è,,
una,,
casa,,
abbandonata,,
.,,
Dopo,,
un,,
colpo,,
tempo,,
fa,,
la,,
cassa,,
del,,
locale,,
venne,,
ritrovata,,
gettata,,
nel,,
Panaro,,
",",,
un,,
',,
altra,,
ancora,,
hanno,,
preso,,
il,,
tombino,,
poco,,
distante,,
.,,
Io,,
scendo,,
",",,
chiamo,,
le,,
forze,,
dell,,
',,
ordine,,
",",,
ma,,
loro,,
sono,,
velocissimi,,
.,,
Questa,,
volta,,
ho,,
fatto,,
in,,
tempo,,
a,,
vedere,,
che,,
erano,,
in,,
tre,,
»,,
.,,
TRE,,
BANDITI,,
Tre,,
banditi,,
dunque,,
",",,
con,,
ogni,,
probabilità,,
gli,,
stessi,,
