token,label,source of relation
Sembrava,,
un,,
normale,,
controllo,,
ad,,
un,,
cittadino,,
ghanese,,
",",,
che,,
era,,
stato,,
fermato,,
dagli,,
agenti,,
per,,
essersi,,
reso,,
responsabile,,
del,,
furto,,
di,,
alcune,,
confezioni,,
di,,
tonno,[68887]DBPEDIA,
presso,,
il,,
supermercato,,
discount,,
In,,
',,
S,,
di,,
piazza,[68882]NER_LOC,
Cittadella,"[68882]NER_LOC, [68888]DBPEDIA",
.,,
Uno,,
dei,,
tanti,,
ladruncoli,,
che,,
con,,
frequenza,,
vengono,,
sorpresi,,
dai,,
dipendenti,,
dello,,
stesso,,
esercizio,,
commerciale,,
ad,,
intascarsi,,
cibarie,,
o,,
altri,,
oggetti,,
.,,
Ma,,
poi,,
quanto,,
l,,
',,
equipaggio,,
della,,
squadra,,
volante,,
ha,,
condotto,,
in,,
questura,,
il,,
ventitrenne,,
R,,
.,,
M,,
.,,
ha,,
scoperto,,
",",,
dopo,,
le,,
operazioni,,
di,,
foro,,
-,,
segnalazione,,
",",,
che,,
da,,
qualche,,
mese,,
questo,,
giovane,,
era,,
in,,
sostanza,,
un,,
ricercato,,
.,,
Il,,
Tribunale,[68883]NER_ORG,
di,[68883]NER_ORG,
Modena,"[68883]NER_ORG, [68889]DBPEDIA",
con,,
provvedimento,,
dell,,
',,
11,,
maggio,[68881]TE,
scorso,[68881]TE,
aveva,,
infatti,,
sostituito,,
la,,
misura,,
cautelare,,
del,,
divieto,,
di,,
dimora,,
in,,
Modena,"[68884]NER_LOC, [68890]DBPEDIA",
con,,
la,,
custodia,,
cautelare,,
in,,
carcere,,
per,,
il,,
reato,,
di,,
rapina,,
.,,
Pertanto,,
il,,
giovane,,
ghanese,,
",",,
che,,
è,,
in,,
regola,,
con,,
le,,
norme,,
sul,,
soggiorno,,
",",,
oltre,,
ad,,
essere,,
indagato,,
per,,
furto,,
di,,
genere,,
alimentari,,
che,,
aveva,,
appena,,
commesso,,
in,,
piazza,[68885]NER_LOC,
Cittadella,"[68885]NER_LOC, [68891]DBPEDIA",
",",,
è,,
stato,,
successivamente,,
condotto,,
presso,,
la,,
casa,,
circondariale,,
di,,
Modena,"[68886]NER_LOC, [68892]DBPEDIA",
a,,
disposizione,,
dell,,
',,
autorità,,
giudiziaria,,
in,,
quanto,,
indagato,,
per,,
il,,
reato,,
di,,
rapina,,
.,,
