token,label,source of relation
SERRAMAZZONI,[83627]DBPEDIA,
.,,
Sparare,,
colpi,,
di,,
fucile,,
in,,
aria,,
e,,
in,,
sicurezza,,
per,,
scacciare,,
i,,
ladri,,
dalla,,
proprietà,,
privata,,
non,,
è,,
un,,
motivo,,
sufficiente,,
per,,
vietare,,
di,,
tenere,,
armi,,
in,,
casa,,
.,,
Lo,,
ha,,
stabilito,,
il,,
Tar,[83619]NER_ORG,
di,,
Bologna,"[83620]NER_LOC, [83628]DBPEDIA",
con,,
una,,
sentenza,,
che,,
dà,,
ragione,,
a,,
un,,
anziano,,
di,,
Serramazzoni,"[83621]NER_LOC, [83629]DBPEDIA",
che,,
aveva,,
fatto,,
ricorso,,
contro,,
la,,
Prefettura,,
di,,
Modena,"[83622]NER_LOC, [83630]DBPEDIA",
per,,
un,,
provvedimento,,
che,,
ritiene,,
ingiusto,,
e,,
non,,
ben,,
motivato,,
.,,
Il,,
caso,,
interessa,,
un,,
decreto,,
emesso,,
dal,,
prefetto,,
lo,[83617]TE,
scorso,[83617]TE,
agosto,[83617]TE,
che,,
vietava,,
all,,
',,
agricoltore,,
-,,
cacciatore,,
di,,
tenere,,
fucile,,
e,,
munizioni,,
in,,
ambito,,
domestico,,
dopo,,
il,,
rapporto,,
steso,,
dai,,
carabinieri,[83623]NER_ORG,
per,,
un,,
drammatico,,
episodio,,
successo,,
una,,
sera,,
del,,
gennaio,[83618]TE,
2018,[83618]TE,
",",,
un,,
anno,,
fa,,
.,,
Intorno,,
alle,,
20,,
al,,
piano,,
terra,,
della,,
sua,,
casa,,
colonica,,
stava,,
succedendo,,
qualcosa,,
di,,
grave,,
.,,
L,,
',,
anziano,,
si,,
è,,
affacciato,,
e,,
ha,,
notato,,
che,,
all,,
',,
ingresso,,
dell,,
',,
abitazione,,
dove,,
vivono,,
il,,
figlio,,
e,,
i,,
familiari,,
(,,
in,,
quel,,
momento,,
fuori,,
casa,,
),,
alcuni,,
ladri,,
stavano,,
cercando,,
di,,
forzare,,
una,,
finestra,,
per,,
entrare,,
.,,
Di,,
questo,,
tentativo,,
di,,
furto,,
era,,
stato,,
avvisato,,
dalla,,
nipote,,
che,,
lo,,
ha,,
chiamato,,
dalla,,
casa,,
vicina,,
dopo,,
aver,,
notato,,
i,,
ladri,,
.,,
Subito,,
dopo,,
la,,
parente,,
ha,,
chiamato,,
anche,,
i,,
carabinieri,,
dando,,
l,,
',,
allarme,,
.,,
Ma,,
il,,
pensionato,,
ha,,
agito,,
sul,,
momento,,
considerando,,
il,,
momento,,
difficile,,
.,,
Come,,
lui,,
stesso,,
ha,,
raccontato,,
ai,,
militari,,
",",,
ha,,
preso,,
da,,
un,,
armadio,,
il,,
fucile,,
da,,
caccia,,
che,,
custodiva,,
regolarmente,,
autorizzato,,
",",,
ha,,
caricato,,
due,,
pallettoni,,
",",,
è,,
andato,,
sul,,
balcone,,
sul,,
retro,,
della,,
casa,,
-,,
quindi,,
dalla,,
parte,,
opposta,,
dei,,
ladri,,
-,,
mentre,,
questi,,
tentavano,,
di,,
forzare,,
la,,
finestra,,
e,,
poi,,
ha,,
sparato,,
in,,
aria,,
alcuni,,
colpi,,
di,,
fucile,,
per,,
intimorirli,,
.,,
E,,
c,,
',,
è,,
riuscito,,
:,,
i,,
ladri,,
sono,,
scappati,,
.,,
Dopo,,
le,,
due,,
schioppettate,,
in,,
aria,,
-,,
i,,
pallini,,
non,,
hanno,,
colpito,,
nessuno,,
-,,
sono,,
arrivati,,
i,,
carabinieri,,
che,,
lo,,
hanno,,
ascoltato,,
e,,
hanno,,
steso,,
una,,
relazione,,
che,,
hanno,,
poi,,
inviato,,
alla,,
Prefettura,,
.,,
Dopo,,
un,,
lettura,,
e,,
una,,
valutazione,,
del,,
caso,,
",",,
in,,
Prefettura,,
si,,
è,,
stabilito,,
che,,
l,,
',,
agricoltore,,
di,,
Serramazzoni,[83624]NER_LOC,
non,,
era,,
più,,
affidabile,,
a,,
detenere,,
armi,,
in,,
casa,,
.,,
A,,
inguaiare,,
l,,
',,
agricoltore,,
",",,
a,,
quanto,,
pare,,
",",,
è,,
stata,,
proprio,,
una,,
sua,,
dichiarazione,,
quando,,
ha,,
precisato,,
che,,
«,,
i,,
colpi,,
venivano,,
esplosi,,
in,,
totale,,
sicurezza,,
all,,
',,
interno,,
della,,
proprietà,,
privata,,
e,,
solamente,,
dopo,,
che,,
i,,
malviventi,,
si,,
era,,
no,,
dileguati,,
»,,
.,,
Quindi,,
",",,
si,,
può,,
commentare,,
a,,
parte,,
",",,
si,,
trattava,,
di,,
una,,
circostanza,,
che,,
forse,,
era,,
blanda,,
anche,,
rispetto,,
all,,
',,
attuale,,
disegno,,
di,,
legge,,
del,,
governo,,
sulla,,
legittima,,
difesa,,
.,,
Proprio,,
perché,,
riteneva,,
che,,
la,,
decisione,,
di,,
vietargli,,
le,,
armi,,
fosse,,
basata,,
su,,
una,,
motivazione,,
inaccettabile,,
oltre,,
che,,
carente,,
dal,,
punto,,
di,,
vista,,
legale,,
",",,
l,,
',,
agricoltore,,
ha,,
fatto,,
ricorso,,
al,,
Tar,[83625]NER_ORG,
.,,
Che,,
gli,,
ha,,
dato,,
ragione,,
.,,
I,,
giudici,,
amministrativi,,
hanno,,
infatti,,
considerato,,
le,,
circostanze,,
:,,
gli,,
estranei,,
che,,
cercando,,
di,,
entrare,,
in,,
casa,,
",",,
la,,
casa,,
posta,,
in,,
una,,
località,,
isolata,,
e,,
avvolta,,
al,,
buio,,
serale,,
",",,
la,,
scelta,,
del,,
balcone,,
sul,,
retro,,
per,,
non,,
colpire,,
i,,
ladri,,
ma,,
solo,,
per,,
spaventarli,,
e,,
scacciarli,,
",",,
gli,,
spari,,
in,,
aria,,
e,,
le,,
cartucce,,
coi,,
pallini,,
per,,
volatili,,
.,,
La,,
Prefettura,,
invece,,
ha,,
ritenuto,,
che,,
questi,,
stressi,,
elementi,,
facevano,,
venir,,
meno,,
l,,
',,
affidabilità,,
della,,
sua,,
condotta,,
anche,,
se,,
si,,
era,,
accertato,,
che,,
gli,,
spari,,
erano,,
avvenuti,,
in,,
una,,
situazione,,
di,,
oggettiva,,
sicurezza,,
e,,
solo,,
per,,
evitare,,
l,,
',,
ingresso,,
in,,
casa,,
di,,
estranei,,
.,,
Non,,
solo,,
:,,
sparando,,
in,,
aria,,
nella,,
parte,,
posteriore,,
della,,
casa,,
",",,
non,,
aveva,,
modo,,
di,,
sapere,,
se,,
proprio,,
in,,
quel,,
preciso,,
momento,,
i,,
malviventi,,
erano,,
ancora,,
in,,
azione,,
attorno,,
alla,,
finestra,,
o,,
erano,,
già,,
scappati,,
via,,
.,,
Quanto,,
basta,,
",",,
secondo,,
i,,
giudici,,
amministrativi,,
",",,
per,,
ritenere,,
che,,
le,,
motivazioni,,
della,,
Prefettura,,
siano,,
insufficienti,,
per,,
togliergli,,
le,,
armi,,
da,,
casa,,
.,,
Per,,
questo,,
è,,
stato,,
annullato,,
il,,
provvedimento,,
della,,
Prefettura,,
di,,
Modena,[83626]NER_LOC,
.,,
La,,
discussione,,
è,,
aperta,,
.,,
—,,
