token,label,source of relation
VIGNOLA,[62739]DBPEDIA,
.,,
Era,,
andato,,
a,,
“,,
fumare,,
”,,
con,,
un,,
amico,,
in,,
un,,
vecchio,,
fienile,,
di,,
San,[62732]NER_ORG,
Giovanni,[62732]NER_ORG,
in,,
Persiceto,[62733]NER_LOC,
e,,
hanno,,
provocato,,
un,,
incendio,,
.,,
In,,
poche,,
ore,,
i,,
carabinieri,[62734]NER_ORG,
bolognesi,[62734]NER_ORG,
",",,
dopo,,
aver,,
ritrovato,,
un,,
telefono,,
cellulare,,
",",,
sono,,
però,,
risaliti,,
a,,
lui,,
e,,
al,,
compagno,,
",",,
denunciandoli,,
.,,
Nei,,
guai,,
sono,,
finiti,,
due,,
ragazzi,,
di,,
18,,
e,,
21,,
anni,,
",",,
entrambi,,
già,,
conosciuti,,
alle,,
forze,,
dell,,
',,
ordine,,
per,,
piccoli,,
precedenti,,
di,,
droga,,
.,,
Lo,,
studente,,
vignolese,,
F,,
.,,
E,,
.,,
è,,
stato,,
tirato,,
in,,
ballo,,
dall,,
',,
amico,,
",",,
che,,
vive,,
a,,
Bentivoglio,[62735]NER_PER,
.,,
Lo,,
smartphone,[62740]DBPEDIA,
recuperato,,
era,,
il,,
suo,,
e,,
per,,
giustificare,,
la,,
presenza,,
nei,,
pressi,,
del,,
fienile,,
ha,,
raccontato,,
ai,,
carabinieri,[62736]NER_ORG,
di,,
essere,,
stato,,
lì,,
",",,
intorno,,
alle,,
23,,
.,,
30,,
",",,
per,,
fumare,,
qualche,,
spinello,,
in,,
compagnia,,
.,,
I,,
due,,
ragazzi,,
si,,
sarebbero,,
poi,,
allontanati,,
in,,
bicicletta,,
.,,
Intorno,,
a,,
mezzanotte,,
però,,
è,,
arrivata,,
la,,
chiamata,,
ai,,
vigili,,
del,,
fuoco,,
:,,
il,,
finile,,
",",,
di,,
circa,,
300,,
metri,,
quadrati,,
",",,
stava,,
andando,,
in,,
fumo,,
.,,
I,[62741]DBPEDIA,
pompieri,[62741]DBPEDIA,
hanno,,
lavorato,,
fino,,
alle,,
5,,
per,,
domare,,
le,,
fiamme,,
mentre,,
l,,
',,
Arma,,
",",,
constatato,,
che,,
nella,,
costruzione,,
mancasse,,
l,,
',,
impianto,,
elettrico,,
e,,
non,,
ricoverasse,,
mezzi,,
agricoli,,
",",,
hanno,,
iniziato,,
ad,,
indagare,,
sul,,
dolo,,
.,,
Il,,
ritrovamento,,
del,,
telefono,,
cellulare,,
ha,,
fatto,,
il,,
resto,,
.,,
Ma,,
i,,
militari,,
hanno,,
aperto,,
un,,
',,
inchiesta,,
anche,,
su,,
un,,
altro,,
casolare,,
andato,,
in,,
fumo,,
a,,
San,[62737]NER_LOC,
Pietro,"[62737]NER_LOC, [62742]DBPEDIA",
in,,
Casale,[62738]NER_LOC,
",",,
probabilmente,,
innescato,,
da,,
un,,
tentato,,
furto,,
.,,
