token,label,source of relation
MODENA,,
I,,
problemi,,
di,,
comportamento,,
di,,
gruppi,,
di,,
ragazzi,,
",",,
per,,
lo,,
più,,
minorenni,,
",",,
nell,,
',,
area,,
di,,
piazza,[109132]NER_LOC,
Roma,"[109132]NER_LOC, [109152]DBPEDIA",
",",,
via,[109133]NER_LOC,
Farini,[109133]NER_LOC,
e,,
via,"[109134]NER_LOC, [109153]DBPEDIA",
Emilia,"[109134]NER_LOC, [109153]DBPEDIA",
centro,,
",",,
sono,,
noti,,
all,,
',,
Amministrazione,,
che,,
",",,
nell,,
',,
ambito,,
delle,,
proprie,,
competenze,,
",",,
ha,,
intensificato,,
i,,
controlli,,
da,,
parte,,
della,,
Polizia,[109135]NER_ORG,
locale,[109135]NER_ORG,
negli,,
orari,,
maggiormente,,
interessati,,
.,,
Lo,,
ha,,
specificato,,
l,,
',,
assessore,,
alle,,
Politiche,,
per,,
la,,
legalità,,
e,,
le,,
sicurezze,,
Andrea,[109136]NER_PER,
Bosi,[109136]NER_PER,
che,,
",",,
nella,,
seduta,,
del,,
Consiglio,[109137]NER_ORG,
comunale,[109137]NER_ORG,
di,,
giovedì,,
4,[109127]TE,
giugno,[109127]TE,
",",,
ha,,
risposto,,
all,,
',,
interrogazione,,
sul,,
tema,,
presentata,,
da,,
Piergiulio,[109138]NER_PER,
Giacobazzi,[109138]NER_PER,
(,,
Forza,[109139]NER_ORG,
Italia,[109139]NER_ORG,
),,
.,,
“,,
Ai,,
normali,,
passaggi,,
degli,,
agenti,,
–,,
ha,,
spiegato,,
l,,
',,
assessore,,
–,,
si,,
sono,,
aggiunti,,
il,,
presidio,,
di,,
una,,
pattuglia,,
",",,
fino,,
alle,,
22,[109128]TE,
",",,
in,,
largo,,
San,[109154]DBPEDIA,
Giorgio,,
e,,
ulteriori,,
controlli,,
effettuati,,
dopo,,
questo,,
orario,,
",",,
anche,,
da,,
agenti,,
in,,
abiti,,
civili,,
.,,
L,,
',,
età,,
dei,,
ragazzi,,
e,,
i,,
loro,,
comportamenti,,
",",,
però,,
",",,
richiedono,,
–,,
ha,,
proseguito,,
–,,
non,,
solo,,
interventi,,
repressivi,,
e,,
sanzionatori,,
ma,,
anche,,
e,,
soprattutto,,
azioni,,
di,,
prevenzione,,
e,,
dialogo,,
che,,
",",,
insieme,,
agli,,
altri,,
settori,,
del,,
Comune,[109140]NER_LOC,
",",,
stiamo,,
valutando,,
come,,
attuare,,
attraverso,,
l,,
',,
educativa,,
di,,
strada,,
”,,
.,,
Nell,,
',,
interrogazione,,
",",,
il,,
consigliere,,
Giacobazzi,[109141]NER_PER,
aveva,,
ricordato,,
gli,,
episodi,,
di,,
degrado,,
",",,
spaccio,,
e,,
bullismo,,
avvenuti,,
nell,,
',,
area,,
di,,
piazza,[109142]NER_LOC,
Roma,"[109142]NER_LOC, [109155]DBPEDIA",
",",,
già,,
da,,
febbraio,[109129]TE,
",",,
a,,
opera,,
di,,
gruppi,,
di,,
ragazzi,,
per,,
chiedere,,
quali,,
contromisure,,
siano,,
state,,
attuate,,
e,,
quali,,
si,,
intenda,,
intraprendere,,
;,,
se,,
la,,
zona,,
sia,,
coperta,,
adeguatamente,,
da,,
telecamere,,
;,,
se,,
sia,,
stata,,
valutata,,
la,,
predisposizione,,
di,,
un,,
presidio,,
fisso,,
delle,,
Forze,,
dell,,
',,
ordine,,
e,,
se,,
si,,
sia,,
pensato,,
a,,
un,,
miglioramento,,
dell,,
',,
illuminazione,,
della,,
zona,,
.,,
Dopo,,
aver,,
comunicato,,
che,,
nei,,
primi,,
giorni,,
di,,
marzo,[109130]TE,
un,,
',,
indagine,,
dei,,
Carabinieri,"[109143]NER_ORG, [109156]DBPEDIA",
aveva,,
portato,,
alla,,
denuncia,,
per,,
spaccio,,
di,,
diversi,,
adolescenti,,
che,,
frequentavano,,
piazza,[109144]NER_LOC,
Roma,"[109144]NER_LOC, [109157]DBPEDIA",
e,,
che,,
l,,
',,
ultimo,,
episodio,,
",",,
avvenuto,,
alla,,
riapertura,,
dopo,,
il,,
lockdown,,
",",,
è,,
stato,,
portato,,
all,,
',,
attenzione,,
del,,
Comitato,[109145]NER_ORG,
provinciale,[109145]NER_ORG,
per,[109145]NER_ORG,
l,[109145]NER_ORG,
',[109146]NER_ORG,
ordine,[109147]NER_ORG,
e,,
la,,
sicurezza,,
",",,
l,,
',,
assessore,,
Bosi,[109148]NER_PER,
ha,,
confermato,,
che,,
l,,
',,
area,,
è,,
controllata,,
da,,
telecamere,,
.,,
Inoltre,,
",",,
gli,,
agenti,,
della,,
Polizia,[109149]NER_ORG,
locale,,
che,,
operano,,
nel,,
Quartiere,,
1,,
mantengono,,
contatti,,
quotidiani,,
con,,
gli,,
esercenti,,
della,,
zona,,
",",,
raccogliendo,,
e,,
verificando,,
le,,
segnalazioni,,
",",,
in,,
modo,,
da,,
intervenire,,
tempestivamente,,
e,,
puntualmente,,
.,,
Per,,
quanto,,
riguarda,,
l,,
',,
illuminazione,,
",",,
ha,,
annunciato,,
che,,
",",,
in,,
accordo,,
con,,
Hera,[109150]NER_ORG,
Luce,[109150]NER_ORG,
",",,
è,,
stato,,
di,,
recente,,
elaborato,,
",",,
e,,
trasmesso,,
alla,,
Soprintendenza,[109151]NER_ORG,
",",,
un,,
piano,,
di,,
riqualificazione,,
per,,
il,,
centro,,
storico,,
che,,
prevede,,
la,,
sostituzione,,
delle,,
lampade,,
attuali,[109131]TE,
con,,
quelle,,
a,,
led,,
.,,
