token,label,source of relation
MODENA,,
.,,
È,,
andata,,
male,,
al,,
ladro,,
che,,
dopo,,
aver,,
fatto,,
man,,
bassa,,
di,,
capi,,
di,,
abbigliamento,,
in,,
un,,
negozio,,
del,,
centro,,
si,,
è,,
dato,,
alla,,
fuga,,
:,,
a,,
far,,
terminare,,
la,,
sua,,
corsa,,
dopo,,
pochi,,
istanti,,
è,,
stato,,
un,,
ufficiale,,
",",,
fuori,,
servizio,,
",",,
della,,
polizia,,
municipale,,
di,,
Modena,"[76293]NER_LOC, [76297]DBPEDIA",
che,,
non,,
ha,,
esitato,,
a,,
lanciarsi,,
all,,
',,
inseguimento,,
e,,
a,,
fermarlo,,
.,,
I,,
fatti,,
sono,,
avvenuti,,
domenica,[76291]TE,
25,[76291]TE,
marzo,[76291]TE,
verso,[76292]TE,
le,[76292]TE,
12,[76292]TE,
.,[76292]TE,
30,[76292]TE,
in,,
via,"[76294]NER_LOC, [76298]DBPEDIA",
Emilia,"[76294]NER_LOC, [76298]DBPEDIA",
centro,,
.,,
Il,,
commissario,,
",",,
svestita,,
la,,
divisa,,
",",,
stava,,
tranquillamente,,
passeggiando,,
in,,
centro,,
in,,
compagnia,,
della,,
famiglia,,
sotto,,
i,,
portici,,
del,,
centro,,
",",,
mescolato,,
a,,
tanti,,
altri,,
modenesi,,
.,,
Diversamente,,
dai,,
più,,
",",,
però,,
",",,
notando,,
un,,
uomo,,
uscire,,
di,,
corsa,,
da,,
un,,
negozio,,
e,,
sentendo,,
scattare,,
l,,
',,
allarme,,
",",,
ha,,
immediatamente,,
capito,,
la,,
situazione,,
.,,
Ha,,
rincorso,,
e,,
in,,
pochi,,
minuti,,
fermato,,
il,,
fuggitivo,,
",",,
anche,,
con,,
l,,
',,
aiuto,,
dell,,
',,
addetto,,
alla,,
sicurezza,,
che,,
nel,,
frattempo,,
lo,,
aveva,,
raggiunto,,
all,,
',,
esterno,,
.,,
Il,,
ladro,,
non,,
si,,
è,,
dato,,
per,,
vinto,,
e,,
dopo,,
essere,,
stato,,
ricondotto,,
all,,
',,
interno,,
del,,
negozio,,
ha,,
nuovamente,,
tentato,,
di,,
scappare,,
senza,,
però,,
riuscirci,,
;,,
è,,
stato,,
quindi,,
consegnato,,
agli,,
operatori,,
di,,
polizia,,
municipale,,
intervenuti,,
in,,
supporto,,
",",,
che,,
lo,,
hanno,,
condotto,,
al,,
Comando,,
di,,
via,[76295]NER_LOC,
Galilei,[76295]NER_LOC,
.,,
La,,
refurtiva,,
",",,
consistente,,
in,,
uno,,
zaino,,
ed,,
alcuni,,
capi,,
di,,
abbigliamento,,
per,,
un,,
valore,,
di,,
circa,,
90,,
euro,,
",",,
è,,
stata,,
quindi,,
immediatamente,,
restituita,,
al,,
responsabile,,
del,,
punto,,
vendita,,
“,,
Pull,[76299]DBPEDIA,
and,[76299]DBPEDIA,
Bear,[76299]DBPEDIA,
”,,
di,,
via,"[76296]NER_LOC, [76300]DBPEDIA",
Emilia,"[76296]NER_LOC, [76300]DBPEDIA",
Centro,[76296]NER_LOC,
",",,
che,,
ha,,
ringraziato,,
l,,
',,
ufficiale,,
per,,
il,,
pronto,,
intervento,,
.,,
Il,,
responsabile,,
del,,
furto,,
è,,
risultato,,
essere,,
un,,
38enne,,
tunisino,,
",",,
M,,
.,,
A,,
.,,
le,,
iniziali,,
",",,
clandestino,,
sul,,
territorio,,
italiano,,
",",,
già,,
noto,,
alle,,
Forze,,
dell,,
',,
ordine,,
per,,
reati,,
contro,,
il,,
patrimonio,,
",",,
a,,
suo,,
carico,,
anche,,
diversi,,
provvedimenti,,
di,,
espulsione,,
non,,
ottemperati,,
.,,
L,,
',,
uomo,,
è,,
stato,,
denunciato,,
a,,
piede,,
libero,,
per,,
furto,,
",",,
resistenza,,
e,,
permanenza,,
illegale,,
sul,,
territorio,,
italiano,,
.,,
