token,label,source of relation
MODENA,,
.,,
«,,
Penso,[140917]NER_PER,
che,,
",",,
se,,
raccogliessimo,,
le,,
firme,,
per,,
contrastare,,
le,,
baby,,
gang,,
che,,
infastidiscono,,
e,,
",",,
soprattutto,,
",",,
danneggiano,,
noi,,
esercenti,,
del,,
centro,,
storico,,
",",,
potrebbero,,
esserci,,
davvero,,
tante,,
adesioni,,
»,,
.,,
I,,
titolari,,
dei,,
locali,,
del,,
centro,,
della,,
città,,
sono,,
convinti,,
che,,
",",,
facendo,,
fronte,,
comune,,
",",,
si,,
possa,,
sconfiggere,,
la,,
piaga,,
della,,
microcriminalità,,
che,,
ha,,
visto,,
i,,
principali,,
protagonisti,,
negli,,
adolescenti,,
",",,
almeno,,
negli,,
ultimi,,
tempi,,
.,,
PIU,,
',,
CONTROLLI,,
.,,
«,,
Servono,,
maggiori,,
controlli,,
e,,
in,,
luoghi,,
specifici,,
»,,
",",,
spiega,,
Marco,[140918]NER_PER,
Amato,[140918]NER_PER,
",",,
titolare,,
del,,
bistrot,,
Santa,[140919]NER_ORG,
Margherita,[140919]NER_ORG,
",",,
che,,
sorge,,
nell,,
',,
omonima,,
via,,
a,,
una,,
manciata,,
di,,
passi,,
dal,,
Teatro,[140920]NER_ORG,
comunale,[140920]NER_ORG,
.,,
INTORNO,,
AL,,
TRIBUNALE,,
.,,
«,,
Una,,
volta,,
",",,
nel,,
nostro,,
locale,,
",",,
ci,,
siamo,,
ritrovati,,
un,,
pezzo,,
di,,
porta,,
piegata,,
–,,
continua,,
l,,
',,
esercente,,
–,,
Inoltre,,
",",,
le,,
vediamo,,
spesso,,
",",,
le,,
baby,,
gang,,
",",,
in,,
giro,,
.,,
Si,,
mettono,,
in,,
fondo,,
alla,,
via,,
",",,
in,,
gruppo,,
.,,
Oppure,,
sedute,,
sulle,,
scale,,
dell,,
',,
entrata,,
laterale,,
del,,
Tribunale,[140921]NER_ORG,
.,,
Se,,
altri,,
titolari,,
di,,
locali,,
che,,
riscontrano,,
questi,,
problemi,,
mi,,
volessero,,
contattare,,
lo,,
possono,,
fare,,
.,,
Si,,
valuta,,
la,,
nascita,,
di,,
un,,
comitato,,
?,,
Perché,[140922]NER_PER,
no,,
?,,
Di,,
certo,,
raccoglierebbe,,
tante,,
adesioni,,
»,,
.,,
LE,,
ZONE,,
CALDE,,
.,,
I,,
punti,,
da,,
tenere,,
sotto,,
controllo,,
",",,
secondo,,
Marco,[140923]NER_PER,
Amato,[140923]NER_PER,
",",,
sono,,
ben,,
precisi,,
e,,
coincidono,,
con,,
alcune,,
piazze,,
più,,
“,,
rinomate,,
”,,
dello,,
spaccio,,
.,,
«,,
Si,,
tratta,,
di,,
piazza,[140924]NER_LOC,
Roma,"[140924]NER_LOC, [140934]DBPEDIA",
",",,
di,,
via,[140925]NER_LOC,
Taglio,[140925]NER_LOC,
",",,
per,,
non,,
parlare,,
dei,,
Giardini,,
Ducali,,
–,,
prosegue,,
Amato,,
–,,
La,,
delinquenza,,
",",,
puntuale,,
",",,
si,,
presenta,,
sempre,,
nei,,
soliti,,
punti,,
",",,
che,,
bisogna,,
controllare,,
non,,
