token,label,source of relation
SASSUOLO,[96634]DBPEDIA,
Un,,
',,
altra,,
denuncia,,
per,,
maltrattamenti,,
e,,
atti,,
persecutori,,
:,,
è,,
intensa,,
l,,
',,
attività,,
dei,,
carabinieri,[96627]NER_ORG,
di,,
Sassuolo,"[96628]NER_LOC, [96635]DBPEDIA",
a,,
tutela,,
delle,,
vittime,,
di,,
“,,
Codice,[96636]DBPEDIA,
Rosso,[96636]DBPEDIA,
”,,
",",,
che,,
porta,,
ad,,
una,,
sempre,,
maggiore,,
attenzione,,
alle,,
situazioni,,
di,,
violenza,,
sulle,,
donne,,
.,,
Stavolta,,
a,,
finire,,
nei,,
guai,,
è,,
un,,
41enne,,
originario,,
della,,
Campania,"[96629]NER_LOC, [96637]DBPEDIA",
che,,
in,,
una,,
notte,,
turbolenta,,
",",,
fatta,,
di,,
accuse,,
e,,
scenate,,
di,,
gelosia,,
ha,,
schiaffeggiato,,
la,,
convivente,,
",",,
ustionandola,,
alla,,
guancia,,
con,,
una,,
sigaretta,,
.,,
La,,
donna,,
38enne,,
ha,,
fatto,,
ricorso,,
alle,,
cure,,
del,,
pronto,,
soccorso,,
cittadino,,
e,,
l,,
',,
indomani,,
mattina,,
si,,
è,,
recata,,
in,,
caserma,,
per,,
denunciare,,
l,,
',,
accaduto,,
.,,
E,,
nel,,
racconto,,
fatto,,
ai,,
carabinieri,[96630]NER_ORG,
ha,,
raccontato,,
di,,
episodi,,
continuativi,,
da,,
parte,,
del,,
geloso,,
convivente,,
",",,
ossessionato,,
dalla,,
gelosia,,
.,,
Le,,
controllava,,
il,,
cellulare,,
",",,
i,,
messaggi,,
",",,
le,,
telefonate,,
intimorito,,
dal,,
fatto,,
che,,
lei,,
avesse,,
una,,
vita,,
parallela,,
.,,
E,,
talvolta,,
picchiava,,
la,,
vittima,,
con,,
cui,,
vive,,
in,,
un,,
appartamento,,
della,,
città,,
insieme,,
ad,,
una,,
figlia,,
già,,
maggiorenne,,
.,,
I,,
militari,,
",",,
raccolta,,
la,,
segnalazione,,
",",,
hanno,,
immediatamente,,
informato,,
la,,
Procura,[96631]NER_ORG,
di,,
Modena,"[96632]NER_LOC, [96638]DBPEDIA",
.,,
Al,[96626]TE,
momento,[96626]TE,
è,,
scattata,,
soltanto,,
la,,
denuncia,,
perché,,
non,,
c,,
',,
erano,,
più,,
i,,
tempi,,
per,,
procedere,,
con,,
l,,
',,
arresto,[96639]DBPEDIA,
in,[96639]DBPEDIA,
flagranza,[96639]DBPEDIA,
di,,
reato,,
",",,
ma,,
non,,
è,,
escluso,,
che,,
possa,,
arrivare,,
un,,
provvedimento,,
restrittivo,,
a,,
tutela,,
della,,
39enne,,
",",,
magari,,
con,,
l,,
',,
allontanamento,,
da,,
casa,,
come,,
accaduto,,
pochi,,
giorni,,
fa,,
quando,,
ad,,
un,,
magrebino,,
che,,
picchiava,,
la,,
sorella,,
è,,
stato,,
vietato,,
l,,
',,
avvicinamento,,
alla,,
vittima,,
e,,
il,,
ritorno,,
nell,,
',,
appartamento,,
tanto,,
che,,
ha,,
preso,,
un,,
materasso,,
ed,,
è,,
stato,,
sorpreso,,
a,,
dormire,,
in,,
un,,
cantiere,,
di,,
via,[96633]NER_LOC,
Cavallotti,[96633]NER_LOC,
.,,
—,,
