token,label,source of relation
Un,,
furto,,
su,,
commissione,,
da,,
parte,,
di,,
un,,
collezionista,,
estero,,
",",,
ma,,
in,,
questo,,
caso,,
fuori,,
dall,,
',,
Unione,[34839]NER_LOC,
europea,[34839]NER_LOC,
e,,
soprattutto,,
un,,
conoscitore,,
dagli,,
interessi,,
artistici,,
sicuramente,,
elevati,,
anche,,
se,,
poco,,
focalizzabili,,
.,,
Oppure,,
un,,
colpo,,
riuscito,,
da,,
parte,,
di,,
una,,
banda,,
senza,,
acquirenti,,
che,,
potrebbe,,
chiedere,,
un,,
riscatto,,
.,,
Nell,,
',,
ambiente,,
dei,,
connoisseur,,
d,,
',,
arte,,
sono,,
queste,,
le,,
opinioni,,
più,,
diffuse,,
sul,,
retroscena,,
del,,
Guercino,[34846]DBPEDIA,
rubato,,
da,,
San,[34847]DBPEDIA,
Vincenzo,,
.,,
Restano,,
forti,,
perplessità,,
riguardo,,
alcuni,,
punti,,
di,,
questa,,
vicenda,,
che,,
",",,
agli,,
occhi,,
di,,
un,,
addetto,,
ai,,
lavori,,
",",,
non,,
tornano,,
.,,
L,,
',,
elemento,,
imprescindibile,,
in,,
ogni,,
loro,,
valutazione,,
è,,
il,,
ruolo,,
del,,
Nucleo,,
per,,
la,,
Tutela,,
del,,
patrimonio,,
artistico,,
dei,,
carabinieri,[34840]NER_ORG,
che,,
ha,,
contatti,,
e,,
conoscenze,,
a,,
tutti,,
i,,
livelli,,
del,,
settore,,
e,,
quindi,,
potrebbe,,
arrivare,,
a,,
capo,,
del,,
caso,,
in,,
poco,,
tempo,,
se,,
qualcuno,,
tentasse,,
di,,
piazzare,,
la,,
tela,,
in,,
ambito,,
europeo,,
.,,
In,,
questo,,
caso,,
",",,
un,,
mediatore,,
avrebbe,,
alte,,
possibilità,,
di,,
essere,,
scoperto,,
.,,
Se,,
un,,
committente,,
c,,
',,
è,,
davvero,,
dietro,,
questo,,
furto,,
",",,
allora,,
-,,
sottolineano,,
gli,,
esperti,,
-,,
è,,
più,,
facile,,
che,,
provenga,,
da,,
altri,,
Paesi,,
più,,
lontani,,
:,,
bisogna,,
guardare,,
a,,
est,,
o,,
verso,,
l,,
',,
Oriente,,
.,,
Ma,,
ammettendo,,
questa,,
ipotesi,,
esiste,,
poi,,
un,,
simile,,
collezionista,,
?,,
Perché,[34841]NER_PER,
ha,,
scelto,,
un,,
',,
opera,,
meno,,
nota,,
del,,
Guercino,[34848]DBPEDIA,
?,,
Gli,,
esperti,,
e,,
i,,
mercanti,,
d,,
',,
arte,,
sanno,,
che,,
un,,
collezionista,,
che,,
ricorre,,
ai,,
criminali,,
finanzierebbe,,
piuttosto,,
il,,
furto,,
di,,
una,,
tela,,
conosciuta,,
del,,
Guercino,[34849]DBPEDIA,
.,,
A,,
meno,,
che,,
non,,
abbia,,
già,,
una,,
collezione,,
dell,,
',,
autore,,
",",,
cosa,,
poco,,
probabile,,
.,,
La,,
spiegazione,,
che,,
emerge,,
è,,
quindi,,
che,,
",",,
venuto,,
a,,
conoscenza,,
del,,
quadro,,
-,,
il,,
primo,,
commissionato,,
al,,
Barbieri,[34842]NER_PER,
dal,,
duca,"[34843]NER_PER, [34850]DBPEDIA",
Francesco,"[34843]NER_PER, [34851]DBPEDIA",
I,[34851]DBPEDIA,
-,,
attraverso,,
la,,
mostra,,
alla,,
Venaria,[34852]DBPEDIA,
Reale,[34852]DBPEDIA,
di,,
Torino,"[34844]NER_LOC, [34853]DBPEDIA",
",",,
abbia,,
poi,,
scoperto,,
che,,
non,,
era,,
così,,
difficile,,
portarlo,,
via,,
da,,
San,[34854]DBPEDIA,
Vincenzo,,
a,,
Modena,"[34845]NER_LOC, [34855]DBPEDIA",
.,,
Questa,,
ipotesi,,
conduce,,
quindi,,
a,,
una,,
combinazione,,
tra,,
la,,
passione,,
per,,
un,,
autore,,
importante,,
e,,
una,,
facile,,
occasione,,
di,,
furto,,
di,,
una,,
sua,,
opera,,
.,,
Occasione,,
che,,
",",,
sottolineano,,
altri,,
esperti,,
",",,
potrebbe,,
aver,,
spinto,,
i,,
ladri,,
a,,
tentare,,
il,,
colpo,,
anche,,
senza,,
un,,
committente,,
.,,
In,,
questo,,
caso,,
potrebbero,,
chiedere,,
un,,
riscatto,,
.,,
