token,label,source of relation
Si,,
aggirava,,
nei,,
pressi,,
della,,
Coop,[44742]NER_ORG,
Magazzeno,[44742]NER_ORG,
.,,
A,,
un,,
agente,,
della,,
Polizia,[44743]NER_ORG,
di,[44743]NER_ORG,
Stato,[44743]NER_ORG,
in,,
abiti,,
civili,,
è,,
apparsa,,
subito,,
strana,,
la,,
condotta,,
dell,,
',,
uomo,,
",",,
originario,,
della,,
Tunisia,"[44744]NER_LOC, [44747]DBPEDIA",
.,,
Lo,,
straniero,,
si,,
avvicinava,,
alle,,
auto,,
in,,
sosta,,
in,,
modo,,
furtivo,,
.,,
L,,
',,
agente,,
fuori,,
servizio,,
ha,,
così,,
deciso,,
di,,
seguire,,
l,,
',,
individuo,,
fino,,
a,,
che,,
non,,
è,,
arrivato,,
nel,,
parcheggio,,
della,,
Coop,,
.,,
Ai,,
cittadini,,
che,,
gli,,
facevano,,
domande,,
rispondeva,,
di,,
essere,,
a,,
disposizione,,
dei,,
clienti,,
del,,
supermercato,,
",",,
per,,
caricare,,
la,,
loro,,
spesa,,
sulle,,
auto,,
.,,
A,,
un,,
certo,,
punto,,
lo,,
straniero,,
ha,,
iniziato,,
ad,,
armeggiare,,
su,,
una,,
serratura,,
di,,
un,,
',,
auto,,
riuscendo,,
poi,,
ad,,
aprirla,,
.,,
Nel,,
frattempo,,
sul,,
posto,,
è,,
arrivata,,
la,,
Volante,,
che,,
ha,,
cosi,,
colto,,
sul,,
fatto,,
il,,
tunisino,,
:,,
tra,,
le,,
mani,,
aveva,,
un,,
tablet,[44748]DBPEDIA,
che,,
era,,
stato,,
appunto,,
asportato,,
dalla,,
vettura,,
.,,
In,,
manette,,
è,,
così,,
finito,,
N,[44745]NER_PER,
.,[44745]NER_PER,
F,[44745]NER_PER,
.,[44745]NER_PER,
",",,
40,,
anni,,
",",,
accusato,,
di,,
tentato,,
furto,,
aggravato,,
e,,
messo,,
a,,
disposizione,,
dell,,
',,
Autorità,,
Giudiziaria,,
per,,
il,,
rito,,
direttissimo,,
.,,
Lo,,
stesso,,
era,,
ben,,
conosciuto,,
dalle,,
forze,,
dell,,
',,
ordine,,
perché,,
sottoposto,,
all,,
',,
obbligo,,
di,,
presentazione,,
presso,,
il,,
Commissariato,[44746]NER_ORG,
Polizia,[44746]NER_ORG,
per,[44746]NER_ORG,
la,[44746]NER_ORG,
firma,[44746]NER_ORG,
",",,
misura,,
applicata,,
dal,,
Giudice,,
in,,
sostituzione,,
della,,
custodia,,
cautelare,,
in,,
carcere,,
dove,,
era,,
finito,,
a,,
seguito,,
di,,
furti,,
analoghi,,
commessi,,
.,,
